id_row,ID_empleado,Apellido,Nombre,Seccional,Facultad,Cargo,Salario,Fch_comienzo,Fch_nacimiento
95,1931,Arango,Felipe,Medellín,Administración,Administrativo,512000,1989-06-20,1969-05-28
96,1932,Garces,Elena,Medellín,Administración,Administrativo,480000,1989-06-12,1949-06-08
97,1933,Sanchez,Miguel,Medellín,Ingeniería,Docente,640000,1984-01-08,1949-06-12
98,1949,Palacio,Paula,Medellín,Diseño,Docente,820000,1981-10-12,1951-02-26
99,1950,Granda,Luisa,Medellín,Diseño,Docente,980000,1981-10-04,1951-03-09
100,1960,Girando,Felipe,Medellín,Administración,Aux. Administrativo,270000,1986-11-13,1965-03-22
101,1961,Jaramillo,Santiago,Medellín,Administración,Docente,270000,1986-11-05,1965-04-02
102,1962,Rodriguez,Hilda,Bucaramanga,Administración,Docente,580000,1987-10-22,1945-04-06
103,1966,Dominguez ,Camila,Bogotá,Derecho,Docente investigador,780000,1991-11-17,1969-05-04
104,1967,Betancurt,Santiago,Bucaramanga,Administración,Aux. Administrativo,270000,1991-11-09,1969-05-15
105,1967,Hincapie,Victoria,Bucaramanga,Administración,Docente,920000,1982-04-13,1951-09-17
106,1968,Burgos,Jeronimo,Palmira,Administración,Administrativo,640000,1982-04-05,1951-09-28
107,1968,Diaz ,Mariana,Monteria,Comunicación,Docente,640000,1993-01-01,1969-05-19
108,1969,Molina,Karla,Bucaramanga,Administración,Aux. Técnico,196000,1989-04-14,1951-10-02
109,1975,Posada,Carlos,Bogotá,Derecho,Docente,640000,1991-05-07,1970-09-28
110,1976,Jaramillo,Ana,Medellín,Ingeniería,Aux. Administrativo,270000,1991-04-29,1970-10-09
111,1977,Saldarriaga,Virginia,Monteria,Comunicación,Docente,840000,1991-09-09,1960-10-13
112,1977,Arroyave,Federico,Medellín,Diseño,Técnico,260000,1980-06-13,1967-09-15
113,1978,Diaz ,Lucero,Monteria,Ingeniería,Docente,640000,1980-06-05,1967-09-26
